ABCA13
CLTC
CLUL1
CLVS1
CMC4
CMSS1
CNNM3
CNTNAP3B
CNTRL
COL12A1
COMMD7
COP1
COPB2
COPS2
CPD
CPNE8
CPSF6
CRAMP1
CRCP
CREB3L4
CREBBP
CREBRF
CRLF2
CRTC2
CRYZL1
CSAD
CSE1L
CSF1R
CSF2RA
CSF3R
CSMD1
CSNK1D
CSNK1G3
CSTF3
CT45A2
CT45A3
CTBP1
CTCF
CTDP1
CTNNA3
CTNNB1
CTRB2
CTSC
CTSS
CUBN
CUEDC1
CUL1
CUL2
CUX1
CXCR4
CYGB
CYP3A4
CYSTM1
CYTH2
DAB2IP
DACH1
DACH2
DAZAP1
DBX1
DCAF12
DCAF8
DCP1A
DCP1B
DCP2
DCPS
DDTL
DDX10
DDX20
DDX3X
DDX42
DDX47
DDX6
DEK
DENND11
DENND1A
DENND1B
DENND5A
DEXI
DGKA
DGKG
DGKH
DGKZ
DHH
DHPS
DHX8
DHX9
DIAPH1
DIO2
DLGAP4
DMRTA2
DMWD
DNAAF11
DNAH14
DNAJA1
DNAJA3
DNAJB8
DNAJC1
DNM2
DNM3
DNMT3B
DNTT
DOCK2
DOCK6
DPM1
DPP6
DPRX
DPY19L1
DSCAM
DSCAML1
DSTYK
DTD1
DUSP10
DUSP16
DUX4
DYRK1A
DYRK4
DZIP1
E2F4
E2F6
EBF1
ECHDC2
EDC4
EDF1
EDIL3
EED
EEF1A1
EEF1G
EEFSEC
EFCAB6
EGFL7
EHD2
EIF4A2
EIF4B
EIF4E3
ELAVL1
ELF1
ELF2
ELF4
ELK3
ELL
ELMO1
ELMOD3
ELN
ELP5
EMILIN2
EML1
EML4
EMP3
EMX1
ENAH
ENTPD4
ENTPD5
EP300
EPB41L2
EPOR
EPS15
ERC1
ERCC6L2
ERG
ESRRA
ESRRB
ESYT2
ETS2
ETV3
ETV4
ETV6
EVL
EVX1
EVX2
EWSR1
EXD1
EXOC3L2
EXOC4
EXT2
EXTL2
FAM111A
FAM117A
FAM117B
FAM120A
FAM133B
FAM171A1
FAR1
FBN3
FBRS
FBRSL1
FBXL13
FBXL20
FBXL3
FECH
FER
FEV
FGFR1
FGFR1OP2
FGFRL1
FIG4
FIGNL1
FIP1L1
FKBP15
FKBP5
FKTN
FLI1
FLNA
FLNC
FLT1
FLT3
FLT3LG
FLVCR1
FMN2
FNBP1
FNDC3A
FNDC3B
FOSL2
FOXJ2
FOXJ3
FOXK2
FOXO1
FOXO3
FOXO4
FOXP1
FOXR1
FRG2B
FRK
FRYL
FUS
FXR1
FXYD6
FYTTD1
GALC
GALNS
GANAB
GAPVD1
GART
GAS6
GAS7
GATA1
GATA2
GATAD2A
GCC2
GET4
GGA2
GGNBP2
GHR
GIGYF2
GIT2
GLIS2
GLUL
GMPS
GNAQ
GNPAT
GNPTAB
GOLGA3
GOLGA4
GOLGA5
GOLGA6A
GOLGB1
GOSR1
GOT1
GPBP1L1
GPHN
GPR119
GPR141
GPR39
GRB10
GREB1
GREB1L
GRID1
GRIK2
GRIP2
GRK2
GRK3
GRM3
GSDMA
GSK3B
GTF2F2
GTF2I
GTPBP10
GUK1
GUSB
GXYLT1
H1-5
H2AX
HACD4
HAND1
HARS2
HBA1
HBE1
HBG1
HBS1L
HCK
HDAC4
HEATR3
HECTD4
HELLS
HEPACAM2
HGS
HHEX
HIC1
HIF1A
HINT2
HIP1
HIPK1
HIPK2
HLF
HM13
HMBOX1
HMGA2
HMGB3
HMGN2
HNRNPC
HNRNPH1
HNRNPM
HNRNPU
HNRNPUL1
HOOK3
HOXA10
HOXA11
HOXA13
HOXA7
HOXA9
HOXB8
HOXB9
HOXC11
HOXC13
HOXD10
HOXD11
HOXD13
HP1BP3
HPSE2
HS2ST1
HS3ST6
HSP90AB1
HSPA8
HYPK
ID4
IER3IP1
IFNGR2
IFNL1
IGF2BP1
IGH
IGK
IKZF1
IL2RB
IL3
IL9R
ING4
INO80
INO80C
INO80D
INPP5D
INSR
INSRR
INTS4
INTS6
IQGAP2
IRAK1
IRAK3
IRF2BP1
IRF2BP2
IRS4
ITCH
ITM2B
ITPR2
ITSN1
ITSN2
JADE2
JAK2
JAM3
JAML
JMJD1C
JUN
KANK1
KANSL1
KAT6A
KAT6B
KAT7
KAZN
KCNE2
KCNK17
KCNMA1
KCNT2
KCTD1
KDM2A
KDM2B
KDM4B
KDM5A
KIAA0753
KIAA1549L
KIDINS220
KIF2A
KIF2C
KIF3B
KIF5B
KIF6
KIF7
KIT
KLRG2
KLRK1
KMT2A
KMT2C
KMT2D
KMT2E
KNL1
KNTC1
KPNB1
KRAS
KRBOX5
KRR1
KSR1
KSR2
L3MBTL3
LAIR1
LAMC3
LAPTM4A
LASP1
LCK
LCOR
LCORL
LDHB
LDLRAD4
LEF1
LEO1
LEUTX
LHX2
LHX4
LILRA2
LILRB3
LILRB4
LIMS1
LIMS4
LIPA
LIPI
LMAN2
LMBR1
LMBR1L
LMNB1
LMO1
LMO2
LNP1
LPAR5
LPAR6
LPP
LPXN
LRBA
LRCH1
LRP6
LRRC37B
LRRC8D
LRRFIP1
LSG1
LSM14A
LTBP1
LTN1
LUC7L2
LY6G5C
LYL1
LYN
LYZ
MACROD1
MACROH2A1
MAD1L1
MAEA
MAFG
MAGOHB
MAML1
MAML2
MAML3
MANBA
MAP1A
MAP2K2
MAP2K3
MAP2K7
MAPK1
MAPK14
MAPK8IP3
MAPKAPK5
MAPRE1
MAPT
MARK4
MATR3
MBNL1
MBP
MBTD1
MCRIP2
MDM4
ME2
MECOM
MED12
MED14
MED17
MED23
MEF2C
MEF2D
MEFV
MEIS2
MELK
MELTF
METRNL
MFSD14A
MGA
MGAT4A
MGAT5
MKLN1
MKNK2
MLF1
MLLT1
MLLT10
MLLT11
MLLT3
MLLT6
MLYCD
MN1
MNX1
MON2
MPLKIP
MPO
MPRIP
MRPL47
MRPS16
MRTFA
MSH2
MSH6
MSI2
MSL2
MTAP
MTCP1
MTOR
MTREX
MUS81
MX1
MYB
MYC
MYCBP
MYH11
MYH6
MYH7
MYH9
MYO18A
MYO18B
MYO19
MYO1F
NAB2
NABP1
NACA
NACC2
NAP1L1
NBEAL2
NBR1
NCAM2
NCAPD3
NCKIPSD
NCLN
NCOA2
NCOA3
NCOA5
NCOA6
NCOR1
NCOR2
NDC1
NDE1
NDST2
NDUFA4
NDUFA9
NDUFAF7
NDUFS4
NEBL
NEK1
NETO2
NF1
NF2
NFATC1
NFATC3
NFIA
NFKB1
NGEF
NHERF1
NIBAN3
NID1
NIN
NIPBL
NKAIN2
NKX2-1
NKX2-5
NLRC3
NLRP11
NOC4L
NOL4L
NOM1
NONO
NOP2
NOTCH1
NOX4
NPHP4
NPL
NPM1
NPR2
NR3C1
NR6A1
NRBP2
NRF1
NRIP1
NRIP3
NSD1
NSD3
NT5C2
NTNG2
NTRK3
NUCB1
NUCKS1
NUFIP1
NUMA1
NUP153
NUP188
NUP214
NUP93
NUP98
NUTM1
NUTM2A
NVL
NXF1
OAZ1
OBP2B
OFD1
OGA
OGFR
OLIG2
OLR1
ONECUT1
OOEP
OSTM1
P2RY8
PABPC1L
PAG1
PAGE2B
PALM
PAN3
PAPOLA
PAQR6
PARD6A
PARG
PAX5
PBX1
PCBP2
PCCB
PCID2
PCM1
PCMTD1
PCNT
PDCD6IP
PDE4DIP
PDE9A
PDGFRA
PDGFRB
PDHX
PDS5A
PDZD7
PEG10
PELI2
PER1
PFDN4
PFN4
PHACTR3
PHAF1
PHF21A
PHF23
PHIP
PIAS4
PICALM
PIEZO1
PIK3AP1
PIK3CB
PIK3R1
PIM1
PIM3
PIP4K2B
PIP4K2C
PLA2G15
PLAG1
PLAGL1
PLAUR
PLCG2
PLCXD3
PLD4
PLEKHG4B
PLK5
PLXNC1
PMEL
PML
PNRC1
POC1A
POFUT1
POLB
POLE
POLE4
POLR1F
POLR2A
POLR2E
POM121
POU1F1
POU2AF1
POU2F1
PPARD
PPARGC1A
PPCS
PPFIBP1
PPP1CC
PPP1R12C
PPP1R1B
PPP1R2
PPP1R36
PPP1R37
PPP1R7
PPP1R9B
PPP2R1B
PPP2R2B
PPP2R5C
PPP4R3A
PPP6R1
PPP6R3
PRC1
PRDM14
PRDM15
PRDM16
PRDX4
PRIM1
PRKAG2
PRKAR1A
PRKAR1B
PRKCB
PRKCH
PRKD3
PRKG2
PRLR
PRMT1
PRMT8
PROC
PRPF19
PRPF38A
PRRC1
PRRC2B
PRRC2C
PRRX1
PRRX2
PRSS1
PRSS2
PRSS50
PSD3
PSIP1
PSMD11
PSMD3
PSPC1
PTBP1
PTEN
PTGR1
PTGR3
PTHLH
PTK2B
PTMA
PTPN2
PTPRJ
PTPRK
PTPRO
PTPRR
PUM1
PUS3
QSOX1
RAB21
RAB2A
RAB38
RABEP1
RABGAP1
RABGAP1L
RAC1
RAC2
RAD51B
RAD52
RAF1
RAG1
RALGPS1
RANBP17
RANBP2
RANBP3
RAP1GAP2
RAP1GDS1
RARA
RARB
RARG
RASGRF1
RB1
RBCK1
RBFOX2
RBL1
RBM11
RBM15
RBM25
RBM3
RBM6
RCAN1
RCC1
RCOR3
RCSD1
RDH11
RELA
RELT
RET
RFX3
RGS9
RHBDL3
RHEB
RHEBL1
RHOA
RHOG
RHOH
RHOXF2
RIC1
RIC3
RIPOR2
RNASEH2B
RNF125
RNF126
RNF138
RNF144A
RNF168
RNF169
RNF180
RNF213
RNF214
RNF217
RNF38
RNLS
RNPC3
RPL13
RPL14
RPL22
RPN1
RPP30
RPRD1B
RPS11
RPS5
RPS6KA1
RPS8
RPTOR
RSAD2
RSRC2
RSRP1
RTN3
RTRAF
RUNDC3B
RUNX1
RUNX1T1
RUNX2
RUVBL2
RYK
SALL2
SAP30BP
SARNP
SART3
SATB1
SCAMP1
SCARB1
SCIN
SCN4B
SCO2
SDK1
SEC16A
SEC24B
SEC31A
SEC62
SEC63
SEMA6D
SENP6
SENP7
SEPTIN11
SEPTIN14
SEPTIN2
SEPTIN3
SEPTIN5
SEPTIN6
SEPTIN7
SEPTIN9
SERF2
SERINC3
SERPINE2
SET
SETBP1
SETD1A
SETD2
SETD5
SETMAR
SF1
SF3A2
SF3B1
SFPQ
SFTA3
SGCA
SGCG
SGSM2
SH3BP2
SH3D19
SH3GL1
SH3KBP1
SHB
SIK3
SIN3A
SINHCAF
SKI
SKP1
SLC12A6
SLC12A9
SLC26A11
SLC29A1
SLC29A3
SLC35A3
SLC35G6
SLC38A2
SLC38A6
SLC49A3
SLC66A2
SLC7A5
SLC7A6
SLCO1B3
SLK
SMAD2
SMAP1
SMARCA2
SMARCA4
SMARCC1
SMC4
SMCO1
SMCO2
SMG1
SMG5
SMU1
SNUPN
SNX1
SNX15
SNX2
SNX29
SNX9
SORBS2
SP2
SPAG9
SPATA13
SPATC1L
SPECC1
SPG7
SPI1
SPN
SPO11
SPRY1
SPTAN1
SPTBN1
SQSTM1
SRC
SRCAP
SRGAP2B
SS18
SS18L1
SSBP2
SSH3
SSU72
STAG2
STARD3
STARD4
STAT3
STAT5B
STAT6
STAU1
STIL
STIM1
STIM2
STIP1
STK10
STK3
STK4
STMN1
STRN
STRN3
STXBP4
STXBP6
SUCLA2
SUGCT
SUGP2
SUPT3H
SUSD6
SV2B
SYK
SYNE2
SYNRG
TACC1
TAF15
TAF3
TAF4B
TAF8
TAL1
TAL2
TAOK1
TBC1D10B
TBC1D15
TBC1D16
TBL1XR1
TBPL1
TBX15
TCERG1
TCF12
TCF3
TCF4
TCF7
TCF7L2
TCL1A
TCTA
TEF
TENM1
TENT4B
TERF2
TERT
TET1
TFE3
TFG
TFPT
TGFB1
TGIF1
THRAP3
TIAM1
TIRAP
TLE6
TLR1
TLR3
TLX1
TLX3
TMEM14B
TMEM154
TMEM18
TMEM245
TMEM255B
TMEM259
TMEM272
TMEM40
TMEM50A
TMEM52B
TMEM91
TMEM94
TMPRSS9
TMTC1
TMX1
TNFSF18
TNIP1
TNK1
TNK2
TNRC18
TNRC6B
TOP1
TOP2B
TOP3A
TP53BP1
TP73
TPD52
TPM3
TPM4
TPR
TRA
TRA2A
TRAF7
TRAP1
TRAPPC10
TRB
TRD
TRG
TRHDE
TRIB3
TRIM24
TRIM69
TRIP11
TRIP12
TRIQK
TRMT2B
TRPS1
TRPV2
TSC1
TSC2
TSC22D1
TSC22D3
TSHZ3
TSLP
TSN
TSPAN31
TTBK2
TTC3
TTC7B
TTC9C
TTLL9
TTYH3
TUT1
TYK2
U2SURP
UBA2
UBAP1
UBASH3B
UBE2G1
UBE3C
UBE4A
UBL7
UBLCP1
UBR4
UBTF
UBXN4
UFC1
UGGT2
UNC5B
UNC79
UPK3B
UQCRC1
URB1
USO1
USP10
USP16
USP2
USP22
USP25
USP42
USP7
USP8
USP9X
UTRN
UVSSA
VAMP7
VANGL2
VAV1
VHL
VILL
VLDLR
VPS13B
VPS54
VRK1
VTI1A
VTI1B
VWF
WDFY1
WDFY2
WDR18
WDR24
WDR4
WDR48
WDR5
WDR76
WNK1
WSB1
WSB2
WTIP
XAF1
XIAP
XKR3
XPO1
YAF2
YIPF5
YJU2
YJU2B
YPEL4
YTHDF2
YWHAB
YWHAE
ZBED1
ZBED4
ZBTB16
ZBTB18
ZBTB20
ZBTB44
ZBTB7A
ZBTB7C
ZC3H13
ZC3HAV1
ZCCHC7
ZCCHC8
ZEB1
ZEB2
ZFP36L1
ZFP36L2
ZFP37
ZFPL1
ZFPM2
ZFYVE19
ZMAT2
ZMIZ1
ZMYM2
ZMYM5
ZMYND11
ZMYND8
ZNF124
ZNF207
ZNF219
ZNF260
ZNF273
ZNF274
ZNF276
ZNF296
ZNF318
ZNF362
ZNF37A
ZNF384
ZNF385A
ZNF394
ZNF398
ZNF423
ZNF430
ZNF483
ZNF512B
ZNF521
ZNF585B
ZNF608
ZNF618
ZNF687
ZNF717
ZNF789
ZNF880
ZNF91
ZNRF2
